percorso,righe,parsing_ast,descrizione_docstring,classi_top_level,funzioni_top_level,import_top_level
BFF_open_loop/run_case.py,288,ok,Run one bounded NASA-style X-56 full-surface-hold SAS-off observation.,,_interpolate_schedule; dlm_rom_values; sas_modal_damping; validate_release_state; case_stem; render_case; run_case; parse_args; main,__future__; argparse; math; os; re; subprocess; pathlib; numpy; netCDF4
BFF_open_loop/run_diagnostics.py,219,ok,Run and compare only the eight prescribed open-loop diagnostic cases.,,compatible; cross_freeze_points; mark_continuous_track; write_outputs; main,__future__; argparse; csv; json; math; os; concurrent.futures; pathlib; matplotlib; matplotlib.pyplot; numpy; analyse_open_loop; run_case
BFF_open_loop/run_sweep.py,135,ok,NASA-style full-surface-hold SAS-off sweep from 50 to 70 m/s (manual launch only).,,clean_generated_outputs; grid; main,__future__; argparse; json; os; decimal; pathlib; analyse_open_loop; nastran_flutter_reference; run_case
DUST/convert_paraview.py,127,ok,,,offset; block; values; rows; convert; read_dt; main,re; struct; pathlib
GRAFICI/MODAL_COMPARISON_10LB/compare_mode_shapes.py,377,ok,Compare Nastran F06 eigenvectors with the shapes used by an MBDyn modal joint.,,nastran_float; numbers; seek_marker; values_until; parse_fem; parse_f06; parse_mbdyn_mov; parse_modes; spanwise_arc_length; normalized_and_aligned; modal_assurance_criterion; compare; build_parser,__future__; argparse; csv; math; re; sys; pathlib; matplotlib.pyplot; numpy
GRAFICI/MODAL_COMPARISON_10LB/generate_mbdyn_comparisons.py,275,ok,Run MBDyn modes 7-18 and compare MOV reconstructions with the Nastran FEM export.,,main,__future__; argparse; csv; re; subprocess; tempfile; pathlib; matplotlib.pyplot; numpy; matplotlib.ticker; compare_mode_shapes
GRAFICI/MODAL_COMPARISON_10LB/interactive_modal_plot.py,279,ok,Interactive 3D modal-shape viewer; images are saved only on user request.,InteractiveModalPlot,main,__future__; argparse; datetime; pathlib; matplotlib.pyplot; numpy; matplotlib.ticker; compare_mode_shapes
GRAFICI/SOL101/compare_deformed_shapes.py,489,ok,Confronta le deformate statiche MBDyn e Nastran per i tre load case.,,parse_args; nastran_float; load_nodes; read_f06; read_mbdyn; ordered_values; normalized_error_percent; plot_case; main,__future__; argparse; re; sys; pathlib; matplotlib; matplotlib.pyplot; netCDF4; numpy; cycler
GRAFICI/X56_BEAM_GEOMETRY_PLOTS/plot_x56_beam_geometry.py,355,ok,Plot the NASTRAN X-56 structural geometry and its fictitious beam.,,nastran_float; fields; read_grids; read_shells; read_beam; unique_edges; padded_limits; style_2d_axis; draw_orthogonal; save_figure; create_plots; main,__future__; argparse; pathlib; matplotlib.pyplot; numpy; cycler; matplotlib.collections; matplotlib.lines; mpl_toolkits.mplot3d.art3d
MANOUVER_STIFNESS/analyse_prestressed_modes.py,326,ok,Match prestressed SOL103 modes to the validated baseline on 45 interface grids.,,nastran_float; parse_f06; parse_baseline_fem; mac; match_case; main,__future__; argparse; csv; json; re; pathlib; numpy; scipy.optimize
MANOUVER_STIFNESS/analyse_pullup_bff.py,232,ok,"Reassess BFF excitation/growth using raw trajectories, not short-window Hilbert slopes.",,read; fit; scalar; cycles; synthetic_check; analyze_pairs; causal_controls; main,__future__; argparse; csv; json; os; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4; scipy.optimize; scipy.signal; analyse_sweep; analyse_time_domain_pairs; compare_paired_response
MANOUVER_STIFNESS/analyse_sweep.py,424,ok,Analyze paired shadow/excited results with one method for all campaigns.,,metadata; is_complete; discover; tas_metrics; analyze_pairs; onset_summary; timestep_summary; stiffness_summary; write_csv; plot_summary; main,__future__; argparse; csv; json; os; re; sys; collections; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4; campaign; analyse_time_domain_pairs; compare_paired_response
MANOUVER_STIFNESS/audit_modal_joint.py,186,ok,Audit the exact MBDyn modal-joint path used by the X-56 campaign.,,record_groups; fem_header; matrix_group; selected_modes; git_revision; sha256; audit; main,__future__; argparse; hashlib; json; math; re; subprocess; pathlib; numpy; campaign
MANOUVER_STIFNESS/campaign.py,357,ok,Case construction shared by the MANOUVER_STIFNESS tools.,StudyCase,_load_module; tag; command_for_class; stiffness_delta_k7; first_order_lowpass; second_order_butterworth; actuator_coefficients; _replace_real; _rediscretize; _inject_stiffness_screen; _constant; _optimize_production_output; render_case; build_cases; source_fingerprints,__future__; hashlib; importlib.util; json; math; re; sys; dataclasses; pathlib
MANOUVER_STIFNESS/extract_prestress_loads.py,551,ok,Average MBDyn aerodynamic loads in the aircraft frame and write Nastran cards.,,_constant; _metadata; element_nodes; canonical_mode7_load; rotation_matrices; to_body; extract_case; write_case; write_prestressed_modes_deck; main,__future__; argparse; csv; functools; json; math; re; shutil; pathlib; numpy; netCDF4; campaign
MANOUVER_STIFNESS/prepare_pullup_sweep.py,166,ok,Prepare in TESI; execute only on explicit user request; results on Desktop.,,write_same; number; tag; prepare; execute_case; main,__future__; argparse; concurrent.futures; csv; hashlib; json; pathlib; re; signal; subprocess; sys; campaign; run_pullup_causal_controls
MANOUVER_STIFNESS/review_existing_results.py,130,ok,Read-only audit of source results; write separate diagnostic JSON only.,,sha256; audit_eigenvalues; audit_dlm; main,__future__; argparse; hashlib; json; re; pathlib; numpy; netCDF4; analyse_prestressed_modes
MANOUVER_STIFNESS/run_load_recovery.py,241,ok,Prepare and optionally run the two shadow cases used to recover preload loads.,,_constant; recovery_cases; recovery_stem; render_recovery; complete; write_manifest; prepare; run_one; main,__future__; argparse; csv; hashlib; json; re; subprocess; concurrent.futures; pathlib; netCDF4; campaign
MANOUVER_STIFNESS/run_pullup_causal_controls.py,171,ok,Three no-rap controls completing a maneuver x SAS-release comparison.,,stop_children; replace_constant; prepare; run; main,__future__; argparse; concurrent.futures; hashlib; json; pathlib; re; signal; subprocess; threading; time; netCDF4
MANOUVER_STIFNESS/run_sweep.py,186,ok,Prepare or explicitly run one paired MBDyn campaign.,,result_is_complete; write_manifest; prepare; run_one; parse_args; main,__future__; argparse; csv; hashlib; json; re; subprocess; concurrent.futures; pathlib; netCDF4; campaign
MANOUVER_STIFNESS/verify_setup.py,149,ok,"Static preflight for configuration, prepared inputs, and paired coverage.",,verify_campaign; main,__future__; argparse; csv; hashlib; json; re; collections; pathlib; audit_modal_joint; campaign
MBDYN/AUTOPILOT/visualization.py,154,ok,,,update,netCDF4; numpy; matplotlib.pyplot; matplotlib.animation; scipy.fft; scipy.signal
MBDYN/MBDYN_OK/test/airfoil_section_ok/2Dtipdeformation.py,96,ok,,,,matplotlib.pyplot; numpy
MBDYN/MBDYN_OK/test/airfoil_section_ok/animazione_trave.py,115,ok,,,,matplotlib.pyplot; matplotlib.animation; numpy
MBDYN/MBDYN_OK/test/test_mbdyn_aero/py_script/2Dtipdeformation.py,95,ok,,,,matplotlib.pyplot; numpy
MBDYN/MBDYN_OK/test/test_mbdyn_aero/py_script/animazione_elementi.py,186,ok,,,load_mbdyn_kinematics; get_naca0012_faces; update,numpy; matplotlib.pyplot; matplotlib.animation; netCDF4; mpl_toolkits.mplot3d.art3d
MBDYN/MBDYN_OK/test/test_mbdyn_aero/py_script/animazione_trave.py,115,ok,,,,matplotlib.pyplot; matplotlib.animation; numpy
MBDYN/MBDYN_OK/test/test_mbdyn_aero/py_script/frequencies.py,187,ok,,,,matplotlib.pyplot; numpy; scipy.signal
MBDYN/MBDYN_OK/test/test_mbdyn_aero/py_script/geometry_check.py,120,ok,,,naca0012_half_thickness; get_section,numpy; matplotlib.pyplot; mpl_toolkits.mplot3d
MBDYN/MBDYN_SOL101/animazione_trave.py,115,ok,,,,matplotlib.pyplot; matplotlib.animation; numpy
MBDYN/MBDYN_SOL101/plot.py,67,ok,,,,netCDF4; matplotlib.pyplot; numpy
MBDYN/PID/roll.py,164,ok,,,estrai_dati; estrai_angoli_3d,netCDF4; matplotlib.pyplot; numpy; sys
MBDYN/PID_5deg_35ms/plot_pid_results.py,324,ok,Generate English PID dashboards from the MBDyn NetCDF results.,,component; load_case; plot_case; main,__future__; argparse; pathlib; matplotlib; matplotlib.pyplot; netCDF4; numpy; cycler
MBDYN/PID_5deg_35ms/roll.py,8,ok,Backward-compatible entry point for the roll dashboard.,,,plot_pid_results
MBDYN/PID_5deg_35ms/run_pid_tests.py,34,ok,Run the two 35 m/s MBDyn PID cases and generate their dashboards.,,main,pathlib; subprocess; sys
MBDYN/PID_pitch/plot_pid_results.py,324,ok,Generate English PID dashboards from the MBDyn NetCDF results.,,component; load_case; plot_case; main,__future__; argparse; pathlib; matplotlib; matplotlib.pyplot; netCDF4; numpy; cycler
MBDYN/PID_pitch/roll.py,8,ok,Backward-compatible entry point for the roll dashboard.,,,plot_pid_results
MBDYN/PID_pitch/run_pid_tests.py,34,ok,Run the two 35 m/s MBDyn PID cases and generate their dashboards.,,main,pathlib; subprocess; sys
MBDYN/PID_test/visualization.py,164,ok,,,estrai_dati; estrai_angoli_3d,netCDF4; matplotlib.pyplot; numpy; sys
MBDYN/V-g_clamp/analysiss.py,358,ok,Build V-g and V-f diagrams from the free response of the X-56 model.,ModalEstimate,parse_args; discover_runs; bandpass; modal_damping; analyse_run; save_csv; zero_crossings; plot_results; main,__future__; argparse; csv; re; dataclasses; pathlib; matplotlib.pyplot; numpy; netCDF4; scipy.signal; scipy.stats
MBDYN/V-g_clamp/vgrun.py,197,ok,,,calc_damping_frequency,os; re; subprocess; time; numpy; matplotlib.pyplot; netCDF4; scipy.signal
NASTRAN/FEMParser_OK/FEMParser.py,140,ok,FEM File Parser for MBDyn Modal Data Files,FEMParser,main,typing; numpy
NASTRAN/REALASED_MODEL/Airfoil/plot_airfoil_sections.py,391,ok,Create publication-quality plots of the X-56A spanwise airfoil sections.,,read_sections; configure_style; station_colours; save_figure; plot_superimposed; plot_planform_positions; plot_sections_3d; plot_stacked; plot_geometry_metrics; plot_combined_summary; main,pathlib; matplotlib; matplotlib.pyplot; numpy; openpyxl
NASTRAN/REALASED_MODEL/MAIN/export_x56_paraview.py,298,ok,Esporta geometria e modi X-56 in VTU/PVD per ParaView.,,fmt_floats; fmt_ints; shell_cells; write_vtu; write_pvd; write_readme; main,__future__; argparse; pathlib; xml.sax.saxutils; numpy; pyNastran.op2.op2; plot_x56_modes
NASTRAN/REALASED_MODEL/MAIN/plot_x56_modes.py,358,ok,Plot delle forme modali X-56: geometria indeformata e deformata in 3D.,,parse_mode_spec; eigenvector_result; read_x56_bdf; result_modes_and_frequencies; automatic_modes; node_positions; element_edges; mode_displacements; equal_3d_axes; add_reference_triad; clean_white_axes; plot_mode; main,__future__; argparse; collections; pathlib; sys; matplotlib.pyplot; mpl_toolkits.mplot3d.art3d; numpy
NASTRAN/REALASED_MODEL/MAIN/view_x56_modes.py,375,ok,Viewer 3D interattivo delle forme modali dell'X-56.,ModalViewer,parse_args; main,__future__; argparse; pathlib; matplotlib.pyplot; matplotlib.widgets; mpl_toolkits.mplot3d.art3d; numpy; plot_x56_modes; pyNastran.op2.op2
NASTRAN_SIMULATIONS/01_SOL103_60_MODES/analyze_modal_spectrum.py,129,ok,Read the SOL 103 F06 and plot the extracted modal spectrum.,,nastran_float; parse_frequencies; main,__future__; argparse; csv; re; pathlib; matplotlib; matplotlib.pyplot; numpy; cycler
NASTRAN_SIMULATIONS/02_COUPMASS_STUDY/compare_coupmass.py,226,ok,Pair lumped/coupled-mass modes by MAC and compare their frequencies.,,nastran_float; parse_f06; mac; global_metrics; main,__future__; argparse; csv; re; pathlib; matplotlib; matplotlib.pyplot; numpy; cycler; scipy.optimize
NASTRAN_SIMULATIONS/02_COUPMASS_STUDY/plot_frequency_comparison.py,190,ok,Plot SOL 103 frequencies for lumped and selected coupled mass matrices.,,ordered_frequencies; main,__future__; argparse; pathlib; matplotlib; matplotlib.pyplot; numpy; cycler; compare_coupmass
NASTRAN_SIMULATIONS/03_GRAVITY_5G/analyze_convergence.py,736,ok,Compare MBDyn modal truncations against Nastran 5g tip displacement.,,nastran_float; read_nastran_tips; read_nastran_displacements; read_mbdyn_tips; read_mbdyn_semispan; sweep_colors; stable_recommendation; main,__future__; argparse; csv; re; pathlib; matplotlib; matplotlib.pyplot; netCDF4; numpy; cycler; plot_modal_truncation_convergence
NASTRAN_SIMULATIONS/03_GRAVITY_5G/cumulative_spanwise_error/plot_cumulative_spanwise_errors.py,230,ok,Plot cumulative MBDyn--Nastran errors from root to each semispan station.,,cumulative_l2; modal_result_path; save_figure; main,__future__; argparse; csv; sys; pathlib; matplotlib; matplotlib.pyplot; numpy; cycler; analyze_convergence
NASTRAN_SIMULATIONS/03_GRAVITY_5G/local_spanwise_error/plot_local_spanwise_errors.py,245,ok,Plot station-local MBDyn--Nastran errors with upstream accumulation removed.,,save_figure; main,__future__; argparse; csv; sys; pathlib; matplotlib; matplotlib.pyplot; numpy; cycler; analyze_convergence
NASTRAN_SIMULATIONS/03_GRAVITY_5G/mbdyn/generate_cases.py,70,ok,Generate MBDyn 5g cases using progressively richer elastic modal bases.,,fem_mode_count; parse_counts; main,__future__; argparse; re; pathlib
NASTRAN_SIMULATIONS/03_GRAVITY_5G/mbdyn/run_convergence.py,56,ok,Generate and run every MBDyn gravity convergence case.,,main,__future__; argparse; subprocess; sys; pathlib
NASTRAN_SIMULATIONS/03_GRAVITY_5G/plot_modal_truncation_convergence.py,270,ok,Create the publication-ready MBDyn modal-truncation convergence plot.,,normalized; find_column; identify_columns; load_truncation_data; select_basis; generate_plot; main,__future__; argparse; csv; re; pathlib; matplotlib; matplotlib.pyplot; numpy; cycler
NASTRAN_SIMULATIONS/03_GRAVITY_5G/run_full_convergence.py,150,ok,"End-to-end 5g workflow: femgen, MBDyn modal sweep, and final analysis.",,fem_header; validate_fem; run_case; main,__future__; argparse; os; re; shutil; subprocess; sys; concurrent.futures; pathlib
NASTRAN_SIMULATIONS/03_GRAVITY_5G/run_remaining_54_bases.py,161,ok,"Resume the 5g MBDyn sweep for every elastic basis N=1,...,54.",,fem_mode_count; valid_result; run_case; main,__future__; argparse; os; re; subprocess; sys; pathlib; netCDF4
NASTRAN_SIMULATIONS/03_GRAVITY_5G/spanwise_area_error/compute_spanwise_area_error.py,272,ok,Integrate a dimensionless MBDyn--Nastran error over the right semispan.,,span_length_percentage; main,__future__; argparse; csv; sys; pathlib; matplotlib; matplotlib.pyplot; numpy; cycler; analyze_convergence
TEST/BBF_AUTO_TRIM/analyze_hilbert_vg_vf.py,605,ok,Build V-g and V-f diagrams from free responses using Hilbert envelopes.,,arguments; nc_array; log_constant; common_frequency; hilbert_parameters; first_saturation_time; analyze_case; zero_crossings; save_plot; save_root_locus; main,__future__; argparse; csv; math; os; pathlib; re; matplotlib; matplotlib.pyplot; numpy; netCDF4; scipy.signal
TEST/BBF_AUTO_TRIM/analyze_sweep.py,897,ok,Analyze the 23--36 m/s MBDyn sweep and create technical English plots.,ModeEstimate; Run,arguments; nc_data; log_constant; read_run; mode_estimate; save_figure; time_plot; per_run_plots; one_comparison_plot; flutter_crossings; main,__future__; argparse; csv; math; os; re; dataclasses; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4; scipy.signal; scipy.stats
TEST/BBF_AUTO_TRIM/plot_bbf.py,315,ok,"Visualizza trim, volo e accoppiamento short-period/1SWB di un run MBDyn.",,arguments; source_constant; result_constant; data; detrend; remove_slow_component; spectrum; growth; damping_ratio; save; run,__future__; argparse; math; os; re; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4
TEST/BBF_AUTO_TRIM/root_locus_multimode.py,452,ok,Build a multimode root-locus diagram from the MBDyn free responses.,,arguments; nc_array; log_constant; identify_poles; analyze_case; assign_branches; plot_root_locus; main,__future__; argparse; csv; math; os; pathlib; re; matplotlib; matplotlib.pyplot; numpy; netCDF4
TEST/BBF_AUTO_TRIM/run_bbf_boundary.py,211,ok,Run a compact velocity sweep around the observed BBF-sensitive region.,,arguments; case_directory; input_at_velocity; preserve_input; result_is_complete; run_case; main,__future__; argparse; pathlib; re; subprocess; sys; tempfile; netCDF4
TEST/BBF_AUTO_TRIM/run_bbf_dense.py,78,ok,"Run a dense, localized sweep around the suspected BBF boundary.",,arguments; main,__future__; argparse; pathlib; subprocess; sys
TEST/BBF_AUTO_TRIM/run_refine_33_35.py,260,ok,Run six targeted cases around the nonlinear 33 and 35 m/s results.,,velocity_key; case_directory; nc_data; classify; create_input; run_or_reuse; write_summary; main,__future__; argparse; csv; math; pathlib; re; subprocess; tempfile; numpy; netCDF4
TEST/BBF_AUTO_TRIM/run_sweep.py,65,ok,"Esegue in sequenza i casi MBDyn da 23 a 36 m/s, senza analisi.",,main,pathlib; re; subprocess; tempfile
TEST/BBF_DUST_COUPLED/analyze_sweep.py,793,ok,Analyze a coupled MBDyn/DUST sweep and create technical English plots.,ModeEstimate; Run,arguments; nc_data; log_constant; read_run; mode_estimate; save_figure; time_plot; per_run_plots; one_comparison_plot; flutter_crossings; main,__future__; argparse; csv; math; os; re; dataclasses; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4; scipy.signal; scipy.stats
TEST/BBF_DUST_COUPLED/coupling_adapter.py,99,ok,preCICE 2.x adapter between the MBDyn nodal socket and DUST.,CouplingAdapter,,__future__; numpy; precice
TEST/BBF_DUST_COUPLED/mbdyn_interface.py,58,ok,Small MBDyn socket interface used by the local preCICE adapter.,MBDynInterface,,__future__; numpy; mbc_py_interface
TEST/BBF_DUST_COUPLED/plot_bbf.py,316,ok,Analyze one coupled MBDyn/DUST trim and short-period/1SWB run.,,arguments; source_constant; result_constant; data; detrend; remove_slow_component; spectrum; growth; damping_ratio; save; run,__future__; argparse; math; os; re; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4
TEST/BBF_DUST_COUPLED/run_coupled.py,267,ok,Launch one coupled X-56 MBDyn/DUST case; no post-processing is performed.,,executable; dust_has_precice; make_case_inputs; stop_process; protect_or_archive_previous_result; parse_args; main,__future__; argparse; os; pathlib; shutil; subprocess; sys; tempfile; time
TEST/BBF_DUST_COUPLED/run_sweep.py,46,ok,Run coupled MBDyn/DUST velocities sequentially; no analysis is started.,,arguments; main,__future__; argparse; pathlib; subprocess; sys
TEST/TRIM_PID_VELOCITY/analyze_trim_sweep.py,626,ok,Analyse the MBDyn trim sweep without modifying the original results.,,lowpass; rms_envelope; smooth_xy; savefig; load_cases; load_six_component_reaction; analyse_case; add_speed_context; plot_trim_solution; plot_quality; plot_signal_separation; plot_spectrum; plot_envelopes; plot_v30_complete; write_summary; write_report; main,__future__; csv; pathlib; matplotlib.pyplot; numpy; scipy.interpolate; scipy.ndimage; scipy.signal; scipy.stats
TEST/TRIM_PID_VELOCITY/trim_velocity_sweep.py,784,ok,Run an MBDyn longitudinal-trim sweep and create independent plots.,CaseHistory; CaseResult,parse_args; locate_mbdyn; fortran_float; build_velocity_grid; read_integer_constant; read_real_card; replace_velocity; enable_text_output; prepare_case_input; times_from_lines; infer_times; read_joint_reactions; read_pid_outputs; align_histories; write_history_csv; run_case; write_summary_csv; finish_axes; save_velocity_plot; save_history_plot; create_plots; main,__future__; argparse; csv; math; os; re; shutil; subprocess; sys; dataclasses; pathlib; typing; matplotlib; matplotlib.pyplot; numpy
TEST/bbf/analyze_bff.py,392,ok,Post-process one NASA X-56 BFF run without launching MBDyn.,,arguments; result_path; main_constant; variable; optional_variable; detrend_linear; remove_slow_component; spectrum; envelope_fit; normalized; save_figure; run,__future__; argparse; math; os; re; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4
